league_id,team,cluster,season_code
2,Sheffield United,0,2526
2,Southampton,0,1718
2,Southampton,1,1819
2,Southampton,1,1920
2,Southampton,0,2021
2,Southampton,1,2122
2,Southampton,2,2223
2,Southampton,2,2324
2,Southampton,1,2425
2,Southampton,2,2526
2,Stoke,0,1718
2,Stoke,1,1819
2,Stoke,0,1920
2,Stoke,2,2021
2,Stoke,1,2122
2,Stoke,0,2223
2,Stoke,2,2324
2,Stoke,1,2425
2,Stoke,2,2526
2,Sunderland,0,1718
2,Sunderland,0,1819
2,Sunderland,0,1920
2,Sunderland,0,2021
2,Sunderland,0,2122
2,Sunderland,0,2223
2,Sunderland,0,2324
2,Sunderland,0,2425
2,Sunderland,0,2526
2,Swansea,1,1718
2,Swansea,1,1819
2,Swansea,0,1920
2,Swansea,2,2021
2,Swansea,1,2122
2,Swansea,2,2223
2,Swansea,2,2324
2,Swansea,1,2425
2,Swansea,2,2526
2,Tottenham,2,1718
2,Tottenham,2,1819
2,Tottenham,2,1920
2,Tottenham,1,2021
2,Tottenham,2,2122
2,Tottenham,2,2223
2,Tottenham,1,2324
2,Tottenham,2,2425
2,Tottenham,1,2526
2,Watford,0,1718
2,Watford,0,1819
2,Watford,0,1920
2,Watford,0,2021
2,Watford,0,2122
2,Watford,0,2223
2,Watford,0,2324
2,Watford,0,2425
2,Watford,0,2526
2,West Brom,0,1718
2,West Brom,1,1819
2,West Brom,1,1920
2,West Brom,2,2021
2,West Brom,1,2122
2,West Brom,0,2223
2,West Brom,2,2324
2,West Brom,1,2425
2,West Brom,2,2526
2,West Ham,0,1718
2,West Ham,0,1819
2,West Ham,0,1920
2,West Ham,2,2021
2,West Ham,1,2122
2,West Ham,2,2223
2,West Ham,2,2324
2,West Ham,1,2425
2,West Ham,2,2526
2,Wolves,1,1920
2,Wolves,2,2021
2,Wolves,1,2122
2,Wolves,2,2223
2,Wolves,2,2324
2,Wolves,1,2425
2,Wolves,2,2526
