index,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2026-01-05,91414.625,94762.0703125,91414.625,93882.5546875,53376407252,0.0,0.0,BTC-USD
2026-01-06,93876.9453125,94395.296875,91286.546875,93729.03125,52430605257,0.0,0.0,BTC-USD
2026-01-07,93727.46875,93738.7890625,90601.8046875,91308.0546875,43461295053,0.0,0.0,BTC-USD
2026-01-08,91309.640625,91485.8515625,89233.875,91027.125,42386697030,0.0,0.0,BTC-USD
2026-01-09,91026.2734375,91910.671875,89625.3828125,90513.1015625,38305906684,0.0,0.0,BTC-USD
2026-01-10,90510.1015625,90713.03125,90283.3984375,90386.6484375,12385895282,0.0,0.0,BTC-USD
2026-01-11,90385.359375,91155.2265625,90212.0234375,90827.4609375,17165568977,0.0,0.0,BTC-USD
2026-01-12,90825.859375,92395.5234375,90055.0234375,91192.9921875,41346275358,0.0,0.0,BTC-USD
2026-01-13,91185.3359375,96011.625,90941.9296875,95321.78125,54980674354,0.0,0.0,BTC-USD
2026-01-14,95322.90625,97860.6015625,94583.046875,96929.328125,60592490863,0.0,0.0,BTC-USD
2026-01-15,96931.2890625,97150.171875,95103.2421875,95551.1875,53086363027,0.0,0.0,BTC-USD
2026-01-16,95554.1015625,95801.890625,94259.2734375,95525.1171875,33248170537,0.0,0.0,BTC-USD
2026-01-17,95525.15625,95598.4765625,95005.6171875,95099.921875,16021715122,0.0,0.0,BTC-USD
2026-01-18,95101.1796875,95491.5078125,93588.8671875,93634.4296875,20809781232,0.0,0.0,BTC-USD
2026-01-19,93655.671875,93660.828125,92089.25,92553.59375,39195241508,0.0,0.0,BTC-USD
2026-01-20,92553.6015625,92798.4296875,87814.9296875,88310.90625,53072968031,0.0,0.0,BTC-USD
2026-01-21,88326.5078125,90430.40625,87231.5703125,89376.9609375,56330422434,0.0,0.0,BTC-USD
2026-01-22,89378.5234375,90258.9609375,88438.4453125,89462.453125,35549685694,0.0,0.0,BTC-USD
2026-01-23,89462.046875,91100.25,88486.359375,89503.875,38997586037,0.0,0.0,BTC-USD
2026-01-24,89506.1484375,89811.609375,89044.2890625,89110.734375,14558687712,0.0,0.0,BTC-USD
2026-01-25,89104.765625,89193.1484375,86003.7109375,86572.21875,36124986722,0.0,0.0,BTC-USD
2026-01-26,86566.5234375,88743.0703125,86429.2890625,88267.140625,45329286974,0.0,0.0,BTC-USD
2026-01-27,88257.4765625,89427.125,87228.921875,89102.5703125,38744942267,0.0,0.0,BTC-USD
2026-01-28,89104.046875,90439.2890625,88721.4609375,89184.5703125,39807419296,0.0,0.0,BTC-USD
2026-01-29,89169.8515625,89200.78125,83250.6015625,84561.5859375,64653083162,0.0,0.0,BTC-USD
2026-01-30,84562.7265625,84602.1640625,81071.4765625,84128.65625,72083816087,0.0,0.0,BTC-USD
2026-01-31,84126.5,84136.921875,75815.8828125,78621.1171875,70479259159,0.0,0.0,BTC-USD
2026-02-01,78626.125,79322.609375,75698.8984375,76974.4453125,53372509744,0.0,0.0,BTC-USD
2026-02-02,76968.875,79258.609375,74551.3359375,78688.765625,75140589684,0.0,0.0,BTC-USD
2026-02-03,78693.5078125,79118.8515625,72897.140625,75633.546875,68249110822,0.0,0.0,BTC-USD
2026-02-04,75640.09375,76864.65625,71779.9296875,73019.703125,67215363944,0.0,0.0,BTC-USD
2026-02-05,73016.375,73161.5546875,62353.53515625,62702.09765625,125509410908,0.0,0.0,BTC-USD
2026-02-06,62704.453125,71681.3046875,60074.203125,70555.390625,114674259489,0.0,0.0,BTC-USD
2026-02-07,70524.3515625,71534.3671875,67591.3984375,68891.9375,80813465600,0.0,0.0,BTC-USD
2025-12-10,3321.2041015625,3446.622802734375,3290.14697265625,3325.39013671875,30694387989,0.0,0.0,ETH-USD
2025-12-11,3324.38671875,3327.344482421875,3149.034423828125,3237.056884765625,29066243707,0.0,0.0,ETH-USD
2025-12-12,3237.025634765625,3265.37255859375,3050.267333984375,3084.172607421875,24391003174,0.0,0.0,ETH-USD
2025-12-13,3084.129638671875,3134.849365234375,3080.07861328125,3116.6953125,9916869400,0.0,0.0,ETH-USD
2025-12-14,3116.743896484375,3128.622802734375,3034.692626953125,3060.5947265625,15619543350,0.0,0.0,ETH-USD
2025-12-15,3060.4814453125,3175.1181640625,2899.685791015625,2964.18310546875,28765976892,0.0,0.0,ETH-USD
2025-12-16,2964.379638671875,2978.92138671875,2890.01171875,2964.180908203125,22709189818,0.0,0.0,ETH-USD
2025-12-17,2964.01953125,3025.8154296875,2791.333984375,2831.403564453125,26159825528,0.0,0.0,ETH-USD
2025-12-18,2831.48828125,2994.552734375,2777.11962890625,2827.069091796875,29194181349,0.0,0.0,ETH-USD
