season_code,league_name,division,Date,HomeTeam,AwayTeam,home_score,away_score,result,home_score_ht,away_score_ht,result_ht,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red
1617,Ligue 1,F1,2016-10-22,Nantes,Rennes,1,2,A,1,0,H,9,7,4,3,3,0,12,8,1,3,0,0
1617,Ligue 1,F1,2016-10-23,Caen,St Etienne,0,2,A,0,0,D,9,13,1,6,4,5,7,13,1,1,0,0
1617,Ligue 1,F1,2016-10-23,Metz,Nice,2,4,A,1,2,A,9,17,5,8,4,3,17,1,4,0,0,0
1617,Ligue 1,F1,2016-10-23,Paris SG,Marseille,0,0,D,0,0,D,17,0,3,0,9,0,4,10,0,2,0,0
1617,Ligue 1,F1,2016-10-28,Lille,Paris SG,0,1,A,0,0,D,10,17,1,7,2,4,21,17,2,1,0,0
1617,Ligue 1,F1,2016-10-29,Bastia,Dijon,0,0,D,0,0,D,19,8,11,2,13,5,11,25,1,1,0,0
1617,Ligue 1,F1,2016-10-29,Guingamp,Angers,1,0,H,0,0,D,13,15,5,3,7,5,9,12,1,3,0,0
1617,Ligue 1,F1,2016-10-29,Lorient,Montpellier,2,2,D,2,1,H,17,8,3,4,5,5,13,9,2,1,0,0
1617,Ligue 1,F1,2016-10-29,Nancy,Caen,2,0,H,2,0,H,11,14,3,5,4,3,17,10,3,3,0,0
1617,Ligue 1,F1,2016-10-29,St Etienne,Monaco,1,1,D,1,1,D,8,13,2,6,4,9,11,15,0,4,0,0
1617,Ligue 1,F1,2016-10-29,Toulouse,Lyon,1,2,A,1,1,D,12,7,1,3,3,2,16,16,2,2,0,1
1617,Ligue 1,F1,2016-10-30,Marseille,Bordeaux,0,0,D,0,0,D,10,5,3,1,3,0,13,8,1,1,0,0
1617,Ligue 1,F1,2016-10-30,Nice,Nantes,4,1,H,2,0,H,12,16,7,4,2,4,12,19,1,3,0,0
1617,Ligue 1,F1,2016-10-30,Rennes,Metz,1,0,H,0,0,D,10,8,4,2,3,4,9,17,0,3,0,0
1617,Ligue 1,F1,2016-11-04,Montpellier,Marseille,3,1,H,2,0,H,13,10,4,2,1,5,10,9,1,1,0,0
1617,Ligue 1,F1,2016-11-05,Angers,Lille,1,0,H,0,0,D,9,6,1,1,2,3,14,12,0,0,0,0
1617,Ligue 1,F1,2016-11-05,Bordeaux,Lorient,2,1,H,1,0,H,12,9,6,1,4,7,2,10,3,2,0,1
1617,Ligue 1,F1,2016-11-05,Dijon,Guingamp,3,3,D,3,1,H,13,14,7,6,6,3,12,17,0,1,0,0
1617,Ligue 1,F1,2016-11-05,Lyon,Bastia,2,1,H,1,0,H,23,10,7,4,9,3,7,14,1,2,0,2
1617,Ligue 1,F1,2016-11-05,Monaco,Nancy,6,0,H,2,0,H,16,8,8,1,4,6,10,18,0,1,0,0
1617,Ligue 1,F1,2016-11-05,Nantes,Toulouse,1,1,D,0,1,A,13,4,2,4,6,2,17,8,4,2,0,0
1617,Ligue 1,F1,2016-11-06,Caen,Nice,1,0,H,1,0,H,12,4,7,1,4,4,11,18,2,3,0,0
1617,Ligue 1,F1,2016-11-06,Metz,St Etienne,0,0,D,0,0,D,14,8,2,2,2,1,17,15,2,0,0,1
1617,Ligue 1,F1,2016-11-06,Paris SG,Rennes,4,0,H,2,0,H,18,4,6,1,9,2,7,10,1,2,0,0
1617,Ligue 1,F1,2016-11-18,Lille,Lyon,0,1,A,0,1,A,14,17,3,3,5,5,15,15,2,3,1,0
1617,Ligue 1,F1,2016-11-18,Lorient,Monaco,0,3,A,0,0,D,15,11,3,6,2,4,15,12,0,1,0,0
1617,Ligue 1,F1,2016-11-19,Bastia,Montpellier,1,1,D,1,0,H,16,11,3,4,5,6,15,14,2,0,0,0
1617,Ligue 1,F1,2016-11-19,Nancy,Dijon,1,0,H,0,0,D,13,12,4,5,7,8,17,22,1,3,0,0
1617,Ligue 1,F1,2016-11-19,Paris SG,Nantes,2,0,H,1,0,H,10,12,5,1,4,5,9,9,0,1,0,0
1617,Ligue 1,F1,2016-11-19,Rennes,Angers,1,1,D,1,0,H,11,7,2,4,6,2,10,13,2,2,0,2
1617,Ligue 1,F1,2016-11-19,Toulouse,Metz,1,2,A,0,1,A,15,4,4,2,3,0,13,14,0,1,0,0
1617,Ligue 1,F1,2016-11-20,Guingamp,Bordeaux,1,1,D,0,1,A,15,8,4,3,7,2,13,16,2,1,0,0
1617,Ligue 1,F1,2016-11-20,Marseille,Caen,1,0,H,0,0,D,14,3,1,0,8,2,18,16,2,1,0,0
1617,Ligue 1,F1,2016-11-20,St Etienne,Nice,0,1,A,0,0,D,8,15,1,5,1,4,12,9,2,1,0,0
1617,Ligue 1,F1,2016-11-25,Rennes,Toulouse,1,0,H,1,0,H,11,12,3,3,4,4,14,19,2,2,0,1
1617,Ligue 1,F1,2016-11-26,Bordeaux,Dijon,3,2,H,0,1,A,14,9,6,6,6,4,14,14,0,2,0,0
1617,Ligue 1,F1,2016-11-26,Caen,Guingamp,1,1,D,0,0,D,18,11,4,4,5,2,11,18,0,2,0,0
1617,Ligue 1,F1,2016-11-26,Metz,Lorient,3,3,D,1,1,D,11,10,6,6,6,3,10,18,2,2,0,0
1617,Ligue 1,F1,2016-11-26,Monaco,Marseille,4,0,H,3,0,H,15,9,9,3,3,4,5,9,1,2,0,0
1617,Ligue 1,F1,2016-11-26,Montpellier,Nancy,0,0,D,0,0,D,12,5,4,2,5,0,5,16,2,3,1,0
1617,Ligue 1,F1,2016-11-26,Nantes,Lille,0,0,D,0,0,D,8,9,1,3,4,3,22,11,1,2,0,0
1617,Ligue 1,F1,2016-11-27,Angers,St Etienne,1,2,A,1,0,H,14,8,6,5,6,5,21,11,3,3,0,1
1617,Ligue 1,F1,2016-11-27,Lyon,Paris SG,1,2,A,0,1,A,14,11,3,5,6,8,8,17,1,6,0,0
1617,Ligue 1,F1,2016-11-27,Nice,Bastia,1,1,D,1,0,H,12,11,7,2,5,4,10,16,0,3,0,0
1617,Ligue 1,F1,2016-11-29,Dijon,Monaco,1,1,D,0,1,A,12,9,2,4,6,4,7,12,2,0,0,0
1617,Ligue 1,F1,2016-11-29,Lille,Caen,4,2,H,2,1,H,19,13,8,2,3,2,8,12,0,1,0,0
1617,Ligue 1,F1,2016-11-29,Lorient,Rennes,2,1,H,1,1,D,10,15,3,8,2,3,15,11,1,1,0,0
1617,Ligue 1,F1,2016-11-30,Bastia,Bordeaux,1,1,D,0,0,D,13,8,6,3,6,4,7,14,2,4,1,0
1617,Ligue 1,F1,2016-11-30,Guingamp,Nice,0,1,A,0,1,A,11,12,5,4,9,3,18,16,2,1,0,0
1617,Ligue 1,F1,2016-11-30,Nancy,Metz,4,0,H,1,0,H,17,8,7,4,6,3,16,14,5,2,0,1
1617,Ligue 1,F1,2016-11-30,Nantes,Lyon,0,6,A,0,3,A,12,20,1,9,5,10,11,11,1,1,0,0
1617,Ligue 1,F1,2016-11-30,Paris SG,Angers,2,0,H,1,0,H,15,14,4,3,10,4,12,8,2,1,0,0
1617,Ligue 1,F1,2016-11-30,St Etienne,Marseille,0,0,D,0,0,D,7,13,3,7,2,2,5,12,0,1,0,0
1617,Ligue 1,F1,2016-11-30,Toulouse,Montpellier,1,0,H,1,0,H,5,12,3,2,1,6,14,12,2,3,0,0
1617,Ligue 1,F1,2016-12-02,Caen,Dijon,3,3,D,3,1,H,16,13,9,4,6,1,15,16,4,2,0,1
1617,Ligue 1,F1,2016-12-03,Angers,Lorient,2,2,D,1,1,D,19,13,5,5,6,11,5,9,0,1,0,0
1617,Ligue 1,F1,2016-12-03,Bordeaux,Lille,0,1,A,0,1,A,8,16,1,9,5,5,15,17,2,4,0,0
1617,Ligue 1,F1,2016-12-03,Guingamp,Nantes,2,0,H,1,0,H,15,8,6,2,9,1,11,18,0,2,0,1
1617,Ligue 1,F1,2016-12-03,Monaco,Bastia,5,0,H,1,0,H,12,7,7,0,6,5,16,11,3,3,0,0
1617,Ligue 1,F1,2016-12-03,Montpellier,Paris SG,3,0,H,1,0,H,6,10,3,3,3,2,8,15,0,2,0,0
1617,Ligue 1,F1,2016-12-04,Marseille,Nancy,3,0,H,0,0,D,19,7,9,2,6,1,14,8,1,1,0,1
1617,Ligue 1,F1,2016-12-04,Nice,Toulouse,3,0,H,2,0,H,11,12,6,0,2,2,6,15,0,2,0,0
1617,Ligue 1,F1,2016-12-04,Rennes,St Etienne,2,0,H,0,0,D,14,4,5,0,7,4,18,6,3,2,0,0
1617,Ligue 1,F1,2016-12-10,Bastia,Metz,2,0,H,1,0,H,16,8,6,1,5,5,13,19,2,2,0,0
1617,Ligue 1,F1,2016-12-10,Bordeaux,Monaco,0,4,A,0,2,A,9,16,2,6,9,9,11,15,3,1,1,0
1617,Ligue 1,F1,2016-12-10,Dijon,Marseille,1,2,A,0,1,A,14,12,5,7,7,4,12,18,1,2,0,0
1617,Ligue 1,F1,2016-12-10,Lille,Montpellier,2,1,H,2,0,H,12,17,4,6,1,3,17,13,1,1,0,0
1617,Ligue 1,F1,2016-12-10,Nancy,Angers,2,0,H,1,0,H,12,10,6,2,2,12,7,8,1,1,0,0
1617,Ligue 1,F1,2016-12-10,Toulouse,Lorient,3,2,H,2,1,H,10,17,5,8,3,8,8,5,2,0,0,0
1617,Ligue 1,F1,2016-12-11,Lyon,Rennes,1,0,H,1,0,H,5,13,4,5,4,6,16,15,3,0,0,1
